primary_theme,all_themes,n_themes,authors,year,title,venue,doi,citations,subtheme,finding
Phase stability,Phase stability,1,Jeon et al.,2015,Compositional engineering of perovskite materials for high-performance solar cells,Nature,10.1038/nature14133,6390,A-site cation mixing & entropy,"Compositional FA-MA engineering optimizes bandgap and crystallinity, establishing mixed A-site cations as the route to high, stable efficiency."
Phase stability,Phase stability,1,Saliba et al.,2016,"Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency",Energy & Environmental Science,10.1039/c5ee03874j,5376,A-site cation mixing & entropy,"Triple-cation Cs/MA/FA absorbers are more reproducible, thermally stable and phase-robust than double-cation baselines."
Phase stability,Phase stability,1,Eperon et al.,2014,Formamidinium lead trihalide: a broadly tunable perovskite for efficient planar heterojunction solar cells,Energy & Environmental Science,10.1039/c3ee43822h,4080,FAPbI3 black-phase stabilization,Introduces FA lead trihalide with a near-ideal ~1.48 eV gap but flags its room-temperature drift to the photoinactive hexagonal delta phase.
Phase stability,Phase stability; Passivation & additives,2,Saliba et al.,2016,Incorporation of rubidium cations into perovskite solar cells improves photovoltaic performance,Science,10.1126/science.aah5557,3663,A-site cation mixing & entropy,Adding Rb to Cs/MA/FA gives a quadruple-cation absorber with suppressed yellow-phase impurities and improved operational stability.
Phase stability,Phase stability,1,Tsai et al.,2016,High-efficiency two-dimensional Ruddlesden–Popper perovskite solar cells,Nature,10.1038/nature18306,3342,2D / Ruddlesden-Popper phase stabilization,High-efficiency 2D Ruddlesden-Popper cells show layered spacer cations trade some transport for markedly improved moisture/phase stability.
Phase stability,Phase stability,1,Jeong et al.,2021,Pseudo-halide anion engineering for α-FAPbI3 perovskite solar cells,Nature,10.1038/s41586-021-03406-5,3071,FAPbI3 black-phase stabilization,"Pseudo-halide (formate) anion engineering suppresses defects and stabilizes alpha-FAPbI3, delivering certified >25% efficiency."
Phase stability,Phase stability,1,McMeekin et al.,2016,A mixed-cation lead mixed-halide perovskite absorber for tandem solar cells,Science,10.1126/science.aad5845,3030,Mixed-halide alloying & segregation,"Mixed-cation mixed-halide (FA/Cs, I/Br) widens the gap for tandems while Cs/FA entropic mixing suppresses halide segregation and phase instability."
Phase stability,Phase stability,1,Swarnkar et al.,2016,Quantum dot–induced phase stabilization of α-CsPbI <sub>3</sub> perovskite for high-efficiency photovoltaics,Science,10.1126/science.aag2700,2758,CsPbI3 & nanocrystal phase stabilization,"Quantum-dot surface energy kinetically stabilizes cubic alpha-CsPbI3 at room temperature, establishing nanocrystal size as a phase-control lever."
Phase stability,Phase stability; Environmental degradation; Ion migration,3,Hoke et al.,2014,Reversible photo-induced trap formation in mixed-halide hybrid perovskites for photovoltaics,Chemical Science,10.1039/c4sc03141e,2235,Mixed-halide alloying & segregation,Identifies reversible light-induced halide segregation (the Hoke effect) splitting mixed I/Br films into I-rich and Br-rich domains.
Phase stability,Phase stability,1,Li et al.,2015,Stabilizing Perovskite Structures by Tuning Tolerance Factor: Formation of Formamidinium and Cesium Lead Iodide Solid-State Alloys,Chemistry of Materials,10.1021/acs.chemmater.5b04107,2227,Tolerance & octahedral factors,"Shows FA and Cs sit near opposite edges of the tolerance-factor window, so FA-Cs alloying tunes an effective t back into the stable range."
Phase stability,Phase stability; Environmental degradation,2,Conings et al.,2015,Intrinsic Thermal Instability of Methylammonium Lead Trihalide Perovskite,Advanced Energy Materials,10.1002/aenm.201500477,2211,Intrinsic compositional/thermal instability,"Documents intrinsic thermal instability of MAPbI3 below 85 C, motivating the shift to FA/Cs compositions for phase durability."
Phase stability,Phase stability,1,Eperon et al.,2015,Inorganic caesium lead iodide perovskite solar cells,Journal of Materials Chemistry A,10.1039/c5ta06398a,1822,CsPbI3 & nanocrystal phase stabilization,Demonstrates all-inorganic CsPbI3 cells and documents the facile black-to-yellow (alpha->delta) transition that limits inorganic absorbers.
Phase stability,Phase stability; Computational methods,2,Bartel et al.,2019,New tolerance factor to predict the stability of perovskite oxides and halides,Science Advances,10.1126/sciadv.aav0693,1742,Tolerance & octahedral factors,"A data-driven single-parameter tolerance factor tau classifies 576 ABX3 solids at ~92% accuracy, outperforming the classic Goldschmidt t for halides."
Phase stability,Phase stability,1,Kim et al.,2019,Methylammonium Chloride Induces Intermediate Phase Stabilization for Efficient Perovskite Solar Cells,Joule,10.1016/j.joule.2019.06.014,1726,FAPbI3 black-phase stabilization,"Methylammonium chloride works through an intermediate phase that templates oriented, phase-pure alpha-FAPbI3 crystallization."
Phase stability,Phase stability,1,Zhao et al.,2022,Inactive (PbI <sub>2</sub> ) <sub>2</sub> RbCl stabilizes perovskite films for efficient solar cells,Science,10.1126/science.abp8873,1412,A-site cation mixing & entropy,"An inactive (PbI2)2RbCl secondary phase pins the lattice and stabilizes the photoactive perovskite for efficient, stable cells."
Phase stability,Phase stability,1,Yi et al.,2015,Entropic stabilization of mixed A-cation ABX <sub>3</sub> metal halide perovskites for high performance perovskite solar cells,Energy & Environmental Science,10.1039/c5ee03255e,1258,A-site cation mixing & entropy,"Frames mixed A-cation halides as entropically stabilized, giving a thermodynamic rationale for why cation alloys resist phase separation."
Phase stability,Phase stability,1,Min et al.,2019,"Efficient, stable solar cells by using inherent bandgap of α-phase formamidinium lead iodide",Science,10.1126/science.aay7044,1255,FAPbI3 black-phase stabilization,"MDACl2-assisted growth stabilizes phase-pure alpha-FAPbI3 with a near-ideal gap, giving 23.7% cells without Br/Cs bandgap widening."
Phase stability,Phase stability,1,Travis et al.,2016,On the application of the tolerance factor to inorganic and hybrid halide perovskites: a revised system,Chemical Science,10.1039/c5sc04845a,1124,Tolerance & octahedral factors,"Revises the tolerance factor specifically for inorganic and hybrid halides, improving prediction of which ABX3 halides adopt the perovskite structure."
Phase stability,Phase stability,1,Li et al.,2008,"Formability of <i>ABX</i> <sub>3</sub> (<i>X</i> = F, Cl, Br, I) halide perovskites",Acta Crystallographica Section B Structural Science,10.1107/s0108768108032734,1114,Tolerance & octahedral factors,"Maps ABX3 (X=F,Cl,Br,I) halide formability in the tolerance-factor/octahedral-factor plane, showing both geometric factors bound the perovskite-forming region."
Phase stability,Phase stability; Environmental degradation,2,Xu et al.,2020,Triple-halide wide–band gap perovskites with suppressed phase segregation for efficient tandems,Science,10.1126/science.aaz5074,1060,Mixed-halide alloying & segregation,"Triple-halide (Cl-alloyed) wide-bandgap perovskites suppress photoinduced halide segregation, stabilizing 1.67 eV absorbers under illumination."
Phase stability,Phase stability,1,Turren‐Cruz et al.,2018,"Methylammonium-free, high-performance, and stable perovskite solar cells on a planar architecture",Science,10.1126/science.aat3583,1047,A-site cation mixing & entropy,"MA-free Cs/FA compositions retain high efficiency while removing the most thermally labile cation, improving intrinsic stability."
Phase stability,Phase stability,1,Lee et al.,2018,2D perovskite stabilized phase-pure formamidinium perovskite solar cells,Nature Communications,10.1038/s41467-018-05454-4,744,2D / Ruddlesden-Popper phase stabilization,"A thin 2D perovskite layer templates and stabilizes phase-pure 3D formamidinium perovskite, bridging 2D capping with alpha-phase retention."
Phase stability,Phase stability,1,Marronnier et al.,2018,Anharmonicity and Disorder in the Black Phases of Cesium Lead Iodide Used for Stable Inorganic Perovskite Solar Cells,ACS Nano,10.1021/acsnano.8b00267,742,CsPbI3 & nanocrystal phase stabilization,First-principles + scattering study shows anharmonic octahedral tilting underlies the metastability of the CsPbI3 alpha/beta/gamma black polymorphs.
Phase stability,Phase stability,1,Sidhik et al.,2024,"Two-dimensional perovskite templates for durable, efficient formamidinium perovskite solar cells",Science,10.1126/science.abq6993,178,2D / Ruddlesden-Popper phase stabilization,"2D perovskite templates give durable, efficient 3D cells, showing epitaxial 2D layers lock in the black phase under operational stress."
Phase stability,Phase stability,1,Ke et al.,2021,Preserving a robust CsPbI3 perovskite phase via pressure-directed octahedral tilt,Nature Communications,10.1038/s41467-020-20745-5,170,CsPbI3 & nanocrystal phase stabilization,"Pressure-directed octahedral tilting preserves a robust black CsPbI3 phase, linking lattice compression/strain directly to polymorph retention."
Phase stability,Phase stability,1,Garai et al.,2026,Bypassing the yellow phase for extremely stable formamidinium lead iodide perovskite solar cells,Science,10.1126/science.aeb7992,2,FAPbI3 black-phase stabilization,Bypasses the yellow delta-phase intermediate during crystallization to yield extremely stable formamidinium perovskite cells (2026 frontier).
Environmental degradation,Environmental degradation,1,You et al.,2015,Improved air stability of perovskite solar cells via solution-processed metal oxide transport layers,Nature Nanotechnology,10.1038/nnano.2015.230,2105,Contact/interface engineering for ambient stability,"Metal-oxide charge-transport layers markedly improve air stability of perovskite cells, implicating interfaces/contacts in environmental degradation."
