slurm_job,name,elapsed,nodes,state,wall_h,node_h,cost_wallhr_rate,cost_nodehr_rate
1,qe-smoke,00:00:04,1,FAILED,0.001,0.001,0.02,0.02
2,qe-smoke,00:00:05,1,COMPLETED,0.001,0.001,0.02,0.02
3,qe-multinode,00:00:07,2,COMPLETED,0.002,0.004,0.03,0.06
4,operon-46cba4b2,00:02:08,1,FAILED,0.036,0.036,0.59,0.59
5,bash,00:00:21,1,COMPLETED,0.006,0.006,0.1,0.1
6,operon-5a6d5f84,00:00:27,1,FAILED,0.007,0.007,0.12,0.12
7,operon-7ede379e,00:00:13,1,COMPLETED,0.004,0.004,0.06,0.06
8,operon-c8554e5e,04:19:19,1,COMPLETED,4.322,4.322,71.23,71.23
9,operon-eda90ec5,00:00:34,1,FAILED,0.009,0.009,0.16,0.16
10,operon-b520e71a,07:33:44,2,FAILED,7.562,15.124,124.63,249.25
11,operon-673e904d,02:29:44,2,COMPLETED,2.496,4.991,41.13,82.25
12,operon-f194e602,03:59:56,2,COMPLETED,3.999,7.998,65.9,131.8
13,operon-f1e02121,00:02:51,2,FAILED,0.048,0.095,0.78,1.57
14,operon-a9142241,02:49:36,2,FAILED,2.827,5.653,46.58,93.17
15,operon-9abb5f66,03:07:34,2,CANCELLED,3.126,6.252,51.52,103.04
16,operon-f7cfdc6b,04:41:33,2,CANCELLED,4.692,9.385,77.33,154.66
17,operon-a9507abb,01:47:11,2,CANCELLED,1.786,3.573,29.44,58.88
18,operon-4d32d586,06:33:34,2,CANCELLED,6.559,13.119,108.1,216.2
19,operon-797297f8,12:52:40,2,CANCELLED,12.878,25.756,212.23,424.45
20,operon-6c910f67,00:00:18,2,FAILED,0.005,0.01,0.08,0.16
21,operon-5dd82854,08:39:35,2,CANCELLED,8.66,17.319,142.71,285.42
22,operon-cbcf7bf6,00:47:05,2,CANCELLED,0.785,1.569,12.93,25.86
23,operon-f4eac4bb,01:31:30,2,CANCELLED,1.525,3.05,25.13,50.26
24,operon-bac49368,00:0?:??,1,FAILED-OOM,0.05,0.05,0.82,0.82
25,operon-6197336b,00:0?:??,1,FAILED-OOM,0.05,0.05,0.82,0.82
