dopant,member,Ea_undoped_meV,Ea_doped_meV,delta_meV,strict_both
GA,5,170.1,158.7,-11.4,True
GA,6,192.1,175.1,-17.0,False
GA,8,209.3,213.8,+4.5,True
GA,10,85.9,152.4,+66.5,False
GA,12,238.3,200.3,-38.0,True
GA,15,55.1,126.8,+71.7,False
GA,18,197.1,166.9,-30.1,True
GA,20,71.3,105.0,+33.7,False
GA,21,93.6,79.2,-14.3,True
GA,30,220.1,292.6,+72.5,True
GA,32,175.2,112.0,-63.2,False
Sr,4,139.4,132.0,-7.4,False
Sr,5,170.1,140.0,-30.2,True
Sr,6,192.1,211.3,+19.2,True
Sr,8,209.3,194.6,-14.7,True
Sr,12,238.3,252.1,+13.8,True
Sr,14,240.1,100.4,-139.8,False
Sr,15,55.1,63.0,+7.9,False
Sr,20,71.3,200.5,+129.3,False
Sr,21,93.6,85.8,-7.8,True
Sr,27,267.8,279.6,+11.8,True
Sr,30,220.1,187.4,-32.6,True
Sr,32,175.2,173.9,-1.3,False
