      Step     Time          Energy          fmax
FIRE:    0 13:26:00      -56.184059        1.196660
FIRE:    1 13:26:00      -56.245193        1.066819
FIRE:    2 13:26:00      -56.347958        0.886736
FIRE:    3 13:26:00      -56.463211        0.688117
FIRE:    4 13:26:00      -56.564011        0.470517
FIRE:    5 13:26:00      -56.633003        0.296262
FIRE:    6 13:26:00      -56.664227        0.184200
FIRE:    7 13:26:00      -56.663628        0.230593
FIRE:    8 13:26:00      -56.664223        0.228117
FIRE:    9 13:26:00      -56.665382        0.223195
FIRE:   10 13:26:00      -56.667053        0.215893
FIRE:   11 13:26:00      -56.669167        0.206309
FIRE:   12 13:26:00      -56.671627        0.194577
FIRE:   13 13:26:00      -56.674324        0.180872
FIRE:   14 13:26:00      -56.677155        0.165412
FIRE:   15 13:26:00      -56.680294        0.146604
FIRE:   16 13:26:00      -56.683617        0.124277
FIRE:   17 13:26:00      -56.686920        0.098734
FIRE:   18 13:26:00      -56.689972        0.073786
FIRE:   19 13:26:00      -56.692558        0.071678
FIRE:   20 13:26:00      -56.694618        0.073223
FIRE:   21 13:26:00      -56.696373        0.089970
FIRE:   22 13:26:00      -56.698250        0.099944
FIRE:   23 13:26:00      -56.700729        0.099902
FIRE:   24 13:26:00      -56.704071        0.087922
FIRE:   25 13:26:00      -56.708092        0.065591
FIRE:   26 13:26:01      -56.712059        0.055052
FIRE:   27 13:26:01      -56.715225        0.061065
FIRE:   28 13:26:01      -56.717724        0.066536
FIRE:   29 13:26:01      -56.720604        0.078927
FIRE:   30 13:26:01      -56.724396        0.075823
FIRE:   31 13:26:01      -56.728493        0.071808
FIRE:   32 13:26:01      -56.733334        0.083991
FIRE:   33 13:26:01      -56.741508        0.092166
FIRE:   34 13:26:01      -56.753567        0.087711
FIRE:   35 13:26:01      -56.769196        0.095723
FIRE:   36 13:26:01      -56.792847        0.091538
FIRE:   37 13:26:01      -56.823669        0.098810
FIRE:   38 13:26:01      -56.857349        0.096942
FIRE:   39 13:26:01      -56.893051        0.080228
FIRE:   40 13:26:01      -56.925652        0.087695
FIRE:   41 13:26:01      -56.953941        0.074573
FIRE:   42 13:26:01      -56.977314        0.068026
FIRE:   43 13:26:01      -56.999084        0.074488
FIRE:   44 13:26:01      -57.021873        0.080767
FIRE:   45 13:26:01      -57.043724        0.069195
FIRE:   46 13:26:01      -57.060638        0.073176
FIRE:   47 13:26:01      -57.069515        0.072471
FIRE:   48 13:26:01      -57.068489        0.057650
FIRE:   49 13:26:01      -57.074188        0.043068
FIRE:   50 13:26:01      -57.080002        0.027076
FIRE:   51 13:26:01      -57.082565        0.024683
FIRE:   52 13:26:01      -57.082565        0.032257
FIRE:   53 13:26:01      -57.082985        0.029460
FIRE:   54 13:26:01      -57.083664        0.024172
FIRE:   55 13:26:01      -57.084373        0.016986
