      Step     Time          Energy          fmax
FIRE:    0 13:27:41     -453.797974        0.090194
FIRE:    1 13:27:41     -453.798340        0.088416
FIRE:    2 13:27:42     -453.799103        0.085007
FIRE:    3 13:27:43     -453.800049        0.080258
FIRE:    4 13:27:43     -453.801300        0.074595
FIRE:    5 13:27:44     -453.802612        0.068550
FIRE:    6 13:27:45     -453.803955        0.062686
FIRE:    7 13:27:45     -453.805298        0.057451
FIRE:    8 13:27:46     -453.806702        0.052606
FIRE:    9 13:27:47     -453.808105        0.048179
