      Step     Time          Energy          fmax
FIRE:    0 13:27:17     -453.843262        0.477203
FIRE:    1 13:27:17     -453.853241        0.463587
FIRE:    2 13:27:17     -453.872192        0.435654
FIRE:    3 13:27:17     -453.897858        0.391853
FIRE:    4 13:27:17     -453.927094        0.329564
FIRE:    5 13:27:18     -453.955566        0.245203
FIRE:    6 13:27:18     -453.978333        0.143810
FIRE:    7 13:27:18     -453.990662        0.077556
FIRE:    8 13:27:18     -453.989990        0.161369
FIRE:    9 13:27:18     -453.990417        0.157976
FIRE:   10 13:27:18     -453.991211        0.151301
FIRE:   11 13:27:18     -453.992371        0.141556
FIRE:   12 13:27:18     -453.993713        0.129034
FIRE:   13 13:27:19     -453.995300        0.114147
FIRE:   14 13:27:19     -453.996979        0.097358
FIRE:   15 13:27:19     -453.998688        0.079235
FIRE:   16 13:27:19     -454.000488        0.068827
FIRE:   17 13:27:19     -454.002380        0.068089
FIRE:   18 13:27:19     -454.004211        0.067092
FIRE:   19 13:27:19     -454.005951        0.065753
FIRE:   20 13:27:19     -454.007721        0.063993
FIRE:   21 13:27:20     -454.009674        0.061738
FIRE:   22 13:27:20     -454.012085        0.065470
FIRE:   23 13:27:20     -454.015106        0.063840
FIRE:   24 13:27:20     -454.018677        0.052168
FIRE:   25 13:27:20     -454.022644        0.046294
FIRE:   26 13:27:20     -454.026123        0.040434
FIRE:   27 13:27:20     -454.028992        0.048076
FIRE:   28 13:27:21     -454.031738        0.062490
FIRE:   29 13:27:21     -454.035004        0.049421
FIRE:   30 13:27:21     -454.038147        0.019319
