      Step     Time          Energy          fmax
FIRE:    0 13:27:13     -453.894562        0.497162
FIRE:    1 13:27:13     -453.904999        0.482320
FIRE:    2 13:27:14     -453.924652        0.451757
FIRE:    3 13:27:14     -453.951019        0.403630
FIRE:    4 13:27:14     -453.980560        0.335072
FIRE:    5 13:27:14     -454.008545        0.242908
FIRE:    6 13:27:14     -454.029663        0.125655
FIRE:    7 13:27:14     -454.039246        0.076631
FIRE:    8 13:27:14     -454.036072        0.176564
FIRE:    9 13:27:14     -454.036560        0.172498
FIRE:   10 13:27:15     -454.037567        0.164495
FIRE:   11 13:27:15     -454.038940        0.152845
FIRE:   12 13:27:15     -454.040588        0.137946
FIRE:   13 13:27:15     -454.042419        0.120300
FIRE:   14 13:27:15     -454.044403        0.100508
FIRE:   15 13:27:15     -454.046204        0.079241
FIRE:   16 13:27:15     -454.048126        0.061129
FIRE:   17 13:27:16     -454.049927        0.059673
FIRE:   18 13:27:16     -454.051453        0.057757
FIRE:   19 13:27:16     -454.052734        0.055271
FIRE:   20 13:27:16     -454.053925        0.062082
FIRE:   21 13:27:16     -454.055115        0.078714
FIRE:   22 13:27:16     -454.056763        0.086482
FIRE:   23 13:27:16     -454.059052        0.083160
FIRE:   24 13:27:16     -454.061859        0.066865
FIRE:   25 13:27:17     -454.064819        0.037170
FIRE:   26 13:27:17     -454.067078        0.025493
