sample,tth,e_tth,area,e_area,fwhm,e_fwhm,eta,e_eta,window_chi2r,at_fwhm_floor,seed_tth,delta_chi2,p_asymptotic,p_bootstrap,p_empirical_floor,effective_dof,detected,seed_offset,detection_unmatched,is_perovskite,phase,d_A
control,12.59446,0.015805,9.475879,3.171953,0.2994,0.04402,0,0.9051069272,1.697383435,False,12.6,75.014632,3.597250407e-16,8.422817623e-14,0.002493765586,2.606379,True,0.00554,False,False,minor,7.02841
control,13.957559,0.004741,54.700856,2.90569,0.220905,0.017747,0.761583,0.1422210398,1.697383435,False,14,686.626568,1.666735179e-148,2.227285815e-102,0.002493765586,2.271371,True,0.042441,False,True,perovskite,6.34493
control,19.850657,0.005437,38.558475,3.725987,0.239754,0.015236,0.161902,0.26007735,1.254946732,False,19.85,487.347011,2.634442984e-105,3.630772883e-105,0.002493765586,2.905764,True,0.000657,False,True,perovskite,4.472613
control,21.150748,0.039064,4.635842,4.935682,0.294396,0.110539,1e-06,2.845358719,1.254946732,False,21.05,12.855537,0.004959662208,0.005302564179,0.007481296758,2.548968,False,0.100748,False,False,not detected,4.200538
control,24.37996,0.008704,17.655464,3.988487,0.206272,0.026065,0,0.6709422968,1.316417891,False,24.4,163.896227,2.643851074e-35,2.65811826e-26,0.002493765586,2.014076,True,0.02004,False,True,perovskite,3.650987
control,26.330776,0.013841,3.446937,1.527115,0.06,0.057476,0.84234,1.161407331,1.002965173,True,26.35,13.324199,0.003985469661,0.004337129603,0.007481296758,2.780104,False,0.019224,False,False,not detected,3.384751
control,28.20736,0.005345,44.965753,4.000964,0.191933,0.020814,0.576672,0.2526951262,0.9354876864,False,28.2,454.293064,3.828913657e-98,2.547999313e-79,0.002493765586,2.195709,True,0.00736,False,True,perovskite,3.163692
control,30.216897,0.025577,38.991288,12.480974,0.539636,0.108027,1,0.4480115144,1.04289974,False,30.25,95.374176,1.534265086e-20,5.329986686e-21,0.002493765586,2.65291,True,0.033103,False,False,minor,2.957718
control,31.676049,0.00443,68.467774,4.942803,0.243689,0.014403,0.296339,0.1965814817,1.04289974,False,31.7,814.823859,2.637855799e-176,4.283572283e-145,0.002493765586,2.204977,True,0.023951,False,True,perovskite,2.824723
control,34.801466,0.008818,24.630083,2.917267,0.158507,0.049117,1,0.4109388509,1.952062122,False,34.8,180.966559,5.454193009e-39,1.543512919e-30,0.002493765586,2.09215,True,0.001466,False,True,perovskite,2.577871
control,40.395204,0.003411,85.546252,3.906954,0.175731,0.015078,0.629843,0.1486019706,0.9016554869,False,40.45,1128.766193,2.09007434e-244,3.574479263e-194,0.002493765586,2.366596,True,0.054796,False,True,perovskite,2.232875
control,42.963772,0.007346,33.513623,3.55474,0.206871,0.033539,0.638918,0.3275337134,1.145587351,False,43,333.920948,4.519019514e-72,4.67209242e-60,0.002493765586,2.60108,True,0.036228,False,True,perovskite,2.105148
passivator-01,12.745963,0.010256,14.180282,2.374254,0.222255,0.034428,0.561,0.4156368439,1.259853189,False,12.668598,132.333084,1.699243726e-28,1.061058659e-23,0.002493765586,2.567117,True,0.077365,False,False,minor,6.945207
passivator-01,14.082358,0.00348,51.457895,2.424028,0.154803,0.01402,0.813652,0.1359536485,1.259853189,False,14.068598,705.947674,1.077334283e-152,1.27498418e-118,0.002493765586,2.363368,True,0.01376,False,True,perovskite,6.288981
passivator-01,19.975822,0.004039,34.449469,2.315323,0.122588,0.023375,0.878807,0.2590660872,0.8764385229,False,19.918598,393.83221,4.798621546e-85,3.178407959e-79,0.002493765586,2.822105,True,0.057224,False,True,perovskite,4.44487
passivator-01,21.329074,0.027406,5.073559,2.670843,0.162402,0.150442,1,1.459264893,0.8764385229,False,21.118598,12.353922,0.006264075528,0.01006098971,0.007481296758,2.507448,False,0.210476,False,False,not detected,4.16582
passivator-01,24.480767,0.007931,20.237117,2.82695,0.140171,0.04694,0.905795,0.5033297996,0.8270284606,False,24.468598,149.604555,3.206789181e-32,5.179324964e-30,0.002493765586,2.484444,True,0.012169,False,True,perovskite,3.636181
passivator-01,26.207281,0.085805,1.951072,5.144031,0.256502,0.255504,1.3e-05,7.381572419,1.080627635,False,26.418598,1.882182,0.5972164909,0.5582506692,0.5211970075,2.573241,False,0.211317,False,False,not detected,3.40042
passivator-01,28.302867,0.00519,50.402785,3.523055,0.158562,0.029969,0.999937,0.2511483702,1.868189903,False,28.268598,466.91688,7.043276466e-101,3.667343992e-90,0.002493765586,2.594261,True,0.034269,False,True,perovskite,3.153233
passivator-01,30.277715,0.0186,25.728273,7.27561,0.372182,0.068521,0.706308,0.5824039146,1.174002017,False,30.318598,107.635551,3.541074567e-23,6.225114117e-20,0.002493765586,2.39574,True,0.040883,False,False,minor,2.951916
passivator-01,31.774087,0.003918,59.472414,3.77709,0.171472,0.016292,0.577004,0.1912420077,1.174002017,False,31.768598,693.213181,6.218262343e-150,1.708559335e-137,0.002493765586,2.578489,True,0.005489,False,True,perovskite,2.816231
passivator-01,34.897036,0.008448,31.218986,3.408727,0.187369,0.052069,1,0.3840208115,2.943418732,False,34.868598,239.03854,1.536102205e-51,9.40151695e-45,0.002493765586,2.500696,True,0.028438,False,True,perovskite,2.57103
