sample,tth,e_tth,area,e_area,fwhm,e_fwhm,eta,e_eta,window_chi2r,at_fwhm_floor,seed_tth,delta_chi2,p_asymptotic,p_bootstrap,p_empirical_floor,effective_dof,detected,seed_offset,detection_unmatched,is_perovskite,phase
control,12.59446,0.015805,9.475879,3.171953,0.2994,0.04402,0,0.9051069272,1.697383435,False,12.6,75.014632,3.597250407e-16,3.209850056e-14,0.004975124378,2.802647,True,0.00554,False,False,minor
control,13.957559,0.004741,54.700856,2.90569,0.220905,0.017747,0.761583,0.1422210398,1.697383435,False,14,686.626568,1.666735179e-148,2.259019811e-97,0.004975124378,2.053667,True,0.042441,False,True,perovskite
control,19.850657,0.005437,38.558475,3.725987,0.239754,0.015236,0.161902,0.26007735,1.254946732,False,19.85,487.347011,2.634442984e-105,3.89999042e-103,0.004975124378,3.012784,True,0.000657,False,True,perovskite
control,21.150748,0.039064,4.635842,4.935682,0.294396,0.110539,1e-06,2.845358719,1.254946732,False,21.05,12.855537,0.004959662208,0.003625649464,0.004975124378,2.970373,False,0.100748,False,False,not detected
control,22.718297,0.030207,1.196028,1.522366,0.06,0.120935,0,3.772898517,1.336731467,True,22.75,-0.000238,1,1,1,2.435878,False,0.031703,False,False,not detected
control,23.5898,0.033648,1.724346,1.32989,0.06,0.082293,0,3.508631063,1.336731467,True,23.6,0.737506,0.8643487957,0.8583764802,0.776119403,2.936065,False,0.0102,False,False,not detected
control,24.379167,0.0087,19.026646,3.747133,0.20633,0.027192,0.165448,0.5660435875,1.336731467,False,24.4,163.896227,2.643851074e-35,1.168694285e-26,0.004975124378,2.00246,True,0.020833,False,True,perovskite
control,26.330776,0.013841,3.446937,1.527115,0.06,0.057476,0.84234,1.161407331,1.002965173,True,26.35,13.324199,0.003985469661,0.003401198633,0.004975124378,3.177337,True,0.019224,False,False,minor
control,28.20736,0.005345,44.965753,4.000964,0.191933,0.020814,0.576672,0.2526951262,0.9354876864,False,28.2,454.293064,3.828913657e-98,1.070410653e-74,0.004975124378,2.013626,True,0.00736,False,True,perovskite
control,30.216897,0.025577,38.991288,12.480974,0.539636,0.108027,1,0.4480115144,1.04289974,False,30.25,95.374176,1.534265086e-20,3.609010447e-19,0.004975124378,2.379944,True,0.033103,False,False,minor
control,31.676049,0.00443,68.467774,4.942803,0.243689,0.014403,0.296339,0.1965814817,1.04289974,False,31.7,814.823859,2.637855799e-176,2.072056854e-132,0.004975124378,2.013815,True,0.023951,False,True,perovskite
control,34.801466,0.008818,24.630083,2.917267,0.158507,0.049117,1,0.4109388509,1.952062122,False,34.8,180.966559,5.454193009e-39,6.86604759e-34,0.004975124378,2.186945,True,0.001466,False,True,perovskite
control,40.395204,0.003411,85.546252,3.906954,0.175731,0.015078,0.629843,0.1486019706,0.9016554869,False,40.45,1128.766193,2.09007434e-244,1.293869879e-210,0.004975124378,2.559508,True,0.054796,False,True,perovskite
control,42.963772,0.007346,33.513623,3.55474,0.206871,0.033539,0.638918,0.3275337134,1.145587351,False,43,333.920948,4.519019514e-72,4.754785795e-57,0.004975124378,2.534927,True,0.036228,False,True,perovskite
passivator-01,12.745963,0.010256,14.180282,2.374254,0.222255,0.034428,0.561,0.4156368439,1.259853189,False,12.668598,132.333084,1.699243726e-28,3.882913653e-23,0.004975124378,2.608644,True,0.077365,False,False,minor
passivator-01,14.082358,0.00348,51.457895,2.424028,0.154803,0.01402,0.813652,0.1359536485,1.259853189,False,14.068598,705.947674,1.077334283e-152,3.896987438e-111,0.004975124378,2.23416,True,0.01376,False,True,perovskite
passivator-01,19.975822,0.004039,34.449469,2.315323,0.122588,0.023375,0.878807,0.2590660872,0.8764385229,False,19.918598,393.83221,4.798621546e-85,2.560273559e-69,0.004975124378,2.606715,True,0.057224,False,True,perovskite
passivator-01,21.329074,0.027406,5.073559,2.670843,0.162402,0.150442,1,1.459264893,0.8764385229,False,21.118598,12.353922,0.006264075528,0.01175100107,0.01492537313,2.326664,False,0.210476,False,False,not detected
