slug,title,authors,year,venue,cited_by,buckets,source,provenance,doi,is_oa,local_pdf
MichaelSaliba_2016_Incorporationofrubidiumc,Incorporation of rubidium cations into perovskite solar cells improves photovoltaic performance,Michael Saliba; Taisuke Matsui; Konrad Domanski; Ji‐Youn Seo; Amita Ummadisingu; Shaik M. Zakeeruddin,2016,Science,3670,composition|stability,web,openalex,10.1126/science.aah5557,True,
TomBaikie_2013_Synthesisandcrystalchemi,Synthesis and crystal chemistry of the hybrid perovskite (CH3NH3)PbI3 for solid-state sensitised solar cell applications,Tom Baikie; Yanan Fang; Jeannette M. Kadro; M. Schreyer; Fengxia Wei; Subodh G. Mhaisalkar,2013,Journal of Materials Chemistry A,2528,stability,web,openalex,10.1039/c3ta10518k,True,
EricTHoke_2014_Reversiblephotoinducedtr,Reversible photo-induced trap formation in mixed-halide hybrid perovskites for photovoltaics,Eric T. Hoke; Daniel J. Slotcavage; Emma R. Dohner; Andrea R. Bowring; Hemamala I. Karunadasa; Michael D. McGehee,2014,Chemical Science,2244,composition|method,web,openalex,10.1039/c4sc03141e,True,
AurlienMALeguy_2015_ReversibleHydrationofCH3,"Reversible Hydration of CH3NH3PbI3 in Films, Single Crystals, and Solar Cells",Aurélien M. A. Leguy; Yinghong Hu; Mariano Campoy‐Quiles; M. I. Alonso; Oliver J. Weber; Pooya Azarhoosh,2015,Chemistry of Materials,1343,stability,web,openalex,10.1021/acs.chemmater.5b00660,True,
ChengZhu_2019_Strainengineeringinperov,Strain engineering in perovskite solar cells and its impacts on carrier dynamics,Cheng Zhu; Xiuxiu Niu; Yuhao Fu; Nengxu Li; Chen Hu; Yihua Chen,2019,Nature Communications,1026,composition,web,openalex,10.1038/s41467-019-08507-4,True,
NicholasAristidou_2015_TheRoleofOxygenintheDegr,The Role of Oxygen in the Degradation of Methylammonium Lead Trihalide Perovskite Photoactive Layers,Nicholas Aristidou; Irene Sánchez‐Molina; Thana Chotchuangchutchaval; Michael D. Brown; Luis Javier Martínez; Thomas Rath,2015,Angewandte Chemie International Edition,961,stability,web,openalex,10.1002/anie.201503153,True,
RohitPrasanna_2017_BandGapTuningviaLatticeC,Band Gap Tuning via Lattice Contraction and Octahedral Tilting in Perovskite Materials for Photovoltaics,Rohit Prasanna; Aryeh Gold‐Parker; Tomas Leijtens; Bert Conings; Aslihan Babayigit; H.‐G. Boyen,2017,Journal of the American Chemical Society,882,stability,web,openalex,10.1021/jacs.7b04981,True,
ZhengLiang_2023_Homogenizingoutofplaneca,Homogenizing out-of-plane cation composition in perovskite solar cells,Zheng Liang; Yong Zhang; Huifen Xu; Wenjing Chen; Boyuan Liu; Jiyao Zhang,2023,Nature,776,composition|stability,web,openalex,10.1038/s41586-023-06784-0,True,
ArthurMarronnier_2018_AnharmonicityandDisorder,Anharmonicity and Disorder in the Black Phases of Cesium Lead Iodide Used for Stable Inorganic Perovskite Solar Cells,Arthur Marronnier; Guido Roma; Soline Boyer‐Richard; Laurent Pédesseau; Jean-Marc Jancu; Yvan Bonnassieux,2018,ACS Nano,744,composition|method|stability,web,openalex,10.1021/acsnano.8b00267,True,
WanyiNie_2016_Lightactivatedphotocurre,Light-activated photocurrent degradation and self-healing in perovskite solar cells,Wanyi Nie; Jean‐Christophe Blancon; Amanda J. Neukirch; Kannatassen Appavoo; Hsinhan Tsai; Manish Chhowalla,2016,Nature Communications,734,method|stability,web,openalex,10.1038/ncomms11574,True,
