sample,hkl,N,tth,I_obs,I_calc,TC
control,"(1, 0, 0)",1,13.9576,63.94,100,0.2161
control,"(1, 1, 0)",2,19.8507,45.07,10.55,1.4442
control,"(1, 1, 1)",3,24.38,20.64,13.62,0.5119
control,"(2, 0, 0)",4,28.2074,52.56,69.11,0.257
control,"(2, 1, 0)",5,31.676,80.04,54.7,0.4944
control,"(2, 1, 1)",6,34.8015,28.79,5.01,1.9415
control,"(2, 2, 0)",8,40.3952,100,44.89,0.7527
control,"(3, 0, 0)",9,42.9638,39.18,5.56,2.3823
passivator-01,"(1, 0, 0)",1,14.0824,63.53,100,0.2061
passivator-01,"(1, 1, 0)",2,19.9758,42.53,10.6,1.3013
passivator-01,"(1, 1, 1)",3,24.4808,24.98,13.77,0.5887
passivator-01,"(2, 0, 0)",4,28.3029,62.22,69.92,0.2887
passivator-01,"(2, 1, 0)",5,31.7741,73.42,55.36,0.4302
passivator-01,"(2, 1, 1)",6,34.897,38.54,5.07,2.4637
passivator-01,"(2, 2, 0)",8,40.4868,100,45.54,0.7123
passivator-01,"(3, 0, 0)",9,43.06,34.9,5.64,2.0091
passivator-02,"(1, 0, 0)",1,14.1414,58.2,100,0.1795
passivator-02,"(1, 1, 0)",2,20.0514,44.65,10.61,1.2978
passivator-02,"(1, 1, 1)",3,24.5656,24.86,13.77,0.5564
passivator-02,"(2, 0, 0)",4,28.3951,54.51,70,0.2401
passivator-02,"(2, 1, 0)",5,31.8599,65.37,55.49,0.3632
passivator-02,"(2, 1, 1)",6,35.0338,44.91,5.07,2.7296
passivator-02,"(2, 2, 0)",8,40.5715,100,45.68,0.675
passivator-02,"(3, 0, 0)",9,43.133,35.94,5.66,1.9584
passivator-03,"(1, 0, 0)",1,14.3638,84.23,100,0.2036
passivator-03,"(1, 1, 0)",2,20.2651,54.29,10.71,1.2252
passivator-03,"(1, 1, 1)",3,24.7862,21.97,13.94,0.3809
passivator-03,"(2, 0, 0)",4,28.6217,85.56,71,0.2913
passivator-03,"(2, 1, 0)",5,32.0731,53.46,56.44,0.229
passivator-03,"(2, 1, 1)",6,35.2971,78.23,5.15,3.6725
passivator-03,"(2, 2, 0)",8,40.8039,100,46.51,0.5198
passivator-03,"(3, 0, 0)",9,43.3764,35.23,5.76,1.4777
passivator-04,"(1, 0, 0)",1,14.0539,70.45,100,0.1976
passivator-04,"(1, 1, 0)",2,19.9487,49.4,10.59,1.3085
passivator-04,"(1, 1, 1)",3,24.471,22.75,13.72,0.4652
passivator-04,"(2, 0, 0)",4,28.303,82.07,69.61,0.3306
passivator-04,"(2, 1, 0)",5,31.7562,82.81,55.19,0.4208
passivator-04,"(2, 1, 1)",6,34.9385,55.11,5.04,3.0665
passivator-04,"(2, 2, 0)",8,40.4682,100,45.38,0.6179
passivator-04,"(3, 0, 0)",9,43.0344,31.91,5.62,1.5929
passivator-05,"(1, 0, 0)",1,14.0159,58.26,100,0.168
passivator-05,"(1, 1, 0)",2,19.9057,41.42,10.58,1.1296
passivator-05,"(1, 1, 1)",3,24.4288,20.68,13.69,0.4356
passivator-05,"(2, 0, 0)",4,28.2521,54.47,69.5,0.226
passivator-05,"(2, 1, 0)",5,31.7117,100,55.06,0.5239
passivator-05,"(2, 1, 1)",6,34.8403,53.33,5.04,3.05
passivator-05,"(2, 2, 0)",8,40.4291,76.33,45.23,0.4867
passivator-05,"(3, 0, 0)",9,42.9903,38.45,5.6,1.9801
