tth,e_tth,d_A,area,e_area,fwhm,e_fwhm,eta,phase,seed_tth,seed_offset,delta_chi2,p_asymptotic,p_bootstrap,p_empirical_floor,effective_dof,detected
12.59446,0.015805,7.022748,9.475879,3.171953,0.2994,0.04402,0,minor,12.6,0.00554,75.014632,3.597250407e-16,6.393388471e-14,0.003984063745,2.71193,True
13.957559,0.004741,6.339819,54.700856,2.90569,0.220905,0.017747,0.761583,perovskite,14,0.042441,686.626568,1.666735179e-148,1.991989713e-100,0.003984063745,2.112212,True
19.850657,0.005437,4.46901,38.558475,3.725987,0.239754,0.015236,0.161902,perovskite,19.85,0.000657,487.347011,2.634442984e-105,2.093022684e-97,0.003984063745,2.838397,True
21.150748,0.039064,4.197154,4.635842,4.935682,0.294396,0.110539,1e-06,not detected,21.05,0.100748,12.855537,0.004959662208,0.005190175017,0.00796812749,2.700539,False
22.718297,0.030207,3.910974,1.196028,1.522366,0.06,0.120935,0,not detected,22.75,0.031703,-0.000238,1,1,1,2.515626,False
23.5898,0.033648,3.768422,1.724346,1.32989,0.06,0.082293,0,not detected,23.6,0.0102,0.737506,0.8643487957,0.8629203469,0.764940239,2.958206,False
24.379167,0.0087,3.648163,19.026646,3.747133,0.20633,0.027192,0.165448,perovskite,24.4,0.020833,163.896227,2.643851074e-35,3.496322069e-26,0.003984063745,1.955692,True
26.330776,0.013841,3.382024,3.446937,1.527115,0.06,0.057476,0.84234,not detected,26.35,0.019224,13.324199,0.003985469661,0.003751698979,0.003984063745,2.902788,False
28.20736,0.005345,3.161144,44.965753,4.000964,0.191933,0.020814,0.576672,perovskite,28.2,0.00736,454.293064,3.828913657e-98,1.308035189e-78,0.003984063745,2.136063,True
30.198974,0.025196,2.957049,25.882431,13.166221,0.478472,0.078952,0.554027,minor,30.05,0.148974,93.759737,3.410673931e-20,6.567206834e-17,0.003984063745,2.255589,True
31.67702,0.004431,2.822364,60.719326,5.377163,0.248598,0.01312,0.003518,perovskite,31.7,0.02298,814.823859,2.637855799e-176,2.257082931e-145,0.003984063745,2.160569,True
34.801466,0.008818,2.575794,24.630083,2.917267,0.158507,0.049117,1,perovskite,34.8,0.001466,180.966559,5.454193009e-39,4.789618579e-31,0.003984063745,2.057212,True
40.395204,0.003411,2.231076,85.546252,3.906954,0.175731,0.015078,0.629843,perovskite,40.45,0.054796,1128.766193,2.09007434e-244,6.021910345e-195,0.003984063745,2.300106,True
42.963772,0.007346,2.103452,33.513623,3.55474,0.206871,0.033539,0.638918,perovskite,43,0.036228,333.920948,4.519019514e-72,1.831653742e-61,0.003984063745,2.566489,True
