quantity,value,interval_lo,interval_hi,unit,uncertainty_class,note
"Domain size D (volume-weighted, integral breadth)",43.74787382921483,41.909721669501316,46.3549776779797,nm,statistical 68% CI,counting + profile shape
Domain size D — instrument-width sensitivity,43.74787382921483,38.39208645771289,50.3409425604169,nm,systematic,DO NOT merge with statistical CI
Effective pseudo-cubic a,6.296883911705348,6.295777232423633,6.297990590987062,A,formal fit,weights at face value
Effective pseudo-cubic a,6.296883911705348,6.2935621369211185,6.300205686489577,A,model discrepancy,"Birge 3.00, chi2r 9.01; NOT a space group"
Zero-point offset,-0.08880775201946899,-0.10624538366954367,-0.0713701203693943,deg,model discrepancy,sample displacement
Microstrain,,,,%,suppressed by gate,"WH slope -2.3 sigma, negative"
Degree of crystallinity,,49.03075193872934,65.21878625874905,%,bounded range,halo width degenerate with flat background
Bragg / total scattered,21.90300394831509,,,%,comparative index,fixed-protocol only; not background-independent
Perovskite Bragg integral,361.6610148991323,,,counts*deg,comparative index,fixed-protocol only
Film impurity / perovskite Bragg,2.7060272529423615,,,%,relative index,PbI2-compatible 001; substrate excluded; no wt% conversion
Peak-to-background (220),64.01520958831297,,,-,data quality,
Analysis status,,,,-,PROVISIONAL,Scherrer/integral-breadth size is CONDITIONAL on the assumed instrumental resolution (no standard scan supplied).; Substrate-overlapping reflections stay PROVISIONAL (no bare-substrate scan supplied).
